Time,Load,Outdoor,Humidity,Pressure,Solar
2016-01-01 00:00:00,4.3,80.5,67.8,30.02,0
2016-01-01 01:00:00,4.12,79.2,68,30.03,0
2016-01-01 02:00:00,4.06,79.1,68.2,30.03,0
2016-01-01 03:00:00,4.44,79,68.35,30.03,0
2016-01-01 04:00:00,3.88,78.8,68.5,30.03,0
2016-01-01 05:00:00,5.62,77.5,68.4,30.02,0
2016-01-01 06:00:00,3.5,76.2,68.3,30.03,3.1
2016-01-01 07:00:00,3.06,75.18,68.27,30.03,72.27
2016-01-01 08:00:00,1.38,77.1,64,30.06,272.5
2016-01-01 09:00:00,1.88,79.18,60.36,30.07,377.27
2016-01-01 10:00:00,1.58,80.2,59.6,30.08,435.6
2016-01-01 11:00:00,1.28,83,56.36,30.05,684.45
2016-01-01 12:00:00,0.98,84.1,54.4,30.02,700.1
2016-01-01 13:00:00,0.68,85.91,52.18,29.98,665.09
2016-01-01 14:00:00,0.38,86.3,51.2,29.95,572.1
2016-01-01 15:00:00,2.94,86.3,50.1,29.92,429.1
2016-01-01 16:00:00,6.94,86.5,50.7,29.92,239.2
2016-01-01 17:00:00,9.63,85.8,51.3,29.92,52.5
2016-01-01 18:00:00,10.12,84.45,54.27,29.92,0.45
2016-01-01 19:00:00,9.75,83.2,59.9,29.96,0
2016-01-01 20:00:00,10,82.09,60.91,29.97,0
2016-01-01 21:00:00,4.94,82,60.4,29.98,0
2016-01-01 22:00:00,4,81.27,61.64,29.99,0
2016-01-01 23:00:00,4.06,80,63.1,29.99,0
2016-01-02 00:00:00,4.38,79.7,64.6,29.98,0
2016-01-02 01:00:00,4.06,79,66.2,29.97,0
2016-01-02 02:00:00,5.81,78.5,66.3,29.96,0
2016-01-02 03:00:00,3.88,76.9,70.5,29.95,0
2016-01-02 04:00:00,3.94,75.27,76.36,29.96,0
2016-01-02 05:00:00,4,74.89,78,29.97,0
2016-01-02 06:00:00,3.44,74,77.1,29.99,3.4
2016-01-02 07:00:00,4,75.6,72.5,30.01,78.1
2016-01-02 08:00:00,2,78.9,65.1,30.03,259.6
2016-01-02 09:00:00,1.31,80.82,60.27,30.03,441
2016-01-02 10:00:00,1.12,84,54.6,30.02,586.2
2016-01-02 11:00:00,2.56,86.3,51.1,30,670.8
2016-01-02 12:00:00,0.38,88,48.36,29.97,704.45
2016-01-02 13:00:00,0.5,88.18,47.09,29.92,710.82
2016-01-02 14:00:00,0.62,87.9,46.7,29.9,425.2
2016-01-02 15:00:00,3.31,88.2,47,29.89,340.7
2016-01-02 16:00:00,8.56,87.7,47.9,29.88,188.8
2016-01-02 17:00:00,13.31,86.73,49.27,29.89,44.45
2016-01-02 18:00:00,11.56,85.2,51.9,29.92,0
2016-01-02 19:00:00,8.5,84.4,55,29.94,0
2016-01-02 20:00:00,7.31,83.4,55.9,29.96,0
2016-01-02 21:00:00,5.12,82.5,57.2,29.97,0
2016-01-02 22:00:00,6.75,81.91,57.82,29.97,0
2016-01-02 23:00:00,5.12,81,59.1,29.96,0
2016-01-03 00:00:00,5.12,80.45,57.64,29.95,0
2016-01-03 01:00:00,5.38,80,57,29.93,0
2016-01-03 02:00:00,4.94,79.36,59.73,29.91,0
2016-01-03 03:00:00,4.56,78.1,61.3,29.91,0
2016-01-03 04:00:00,6.63,77.6,62.3,29.91,0
2016-01-03 05:00:00,4.25,76.64,66.18,29.92,0
2016-01-03 06:00:00,4.31,75.6,70.6,29.93,2.6
2016-01-03 07:00:00,4.06,75.22,72,29.96,72.33
2016-01-03 08:00:00,1.62,77.18,68.18,29.99,231
2016-01-03 09:00:00,1.62,80,64,29.99,420.4
2016-01-03 10:00:00,4.173228,84.82,55.18,29.98,560.45
2016-01-03 11:00:00,4.2068076,88.1,47.7,29.96,659.5
2016-01-03 12:00:00,4.4744873,90.1,44.8,29.94,661.4
2016-01-03 13:00:00,4.466723,90.36,44.36,29.9,567.18
