,Floor1Sum,Floor2Sum,Floor3Sum,Floor4Sum,Floor5Sum,Floor6Sum,Floor7Sum
7/1/18 0:00,9.334166667,7.811666667,0.643166667,9.831370056,1.081873563,0.758166667,0.540333333
7/1/18 1:00,9.394333333,7.862333333,0.557166667,9.886601695,1.044908046,0.699111728,0.587333333
7/1/18 2:00,9.3705,7.8425,0.578166667,9.843,1.117885965,0.765945584,0.6385
7/1/18 3:00,9.251166667,7.874833333,0.563,9.913,1.159,0.697833333,0.575
7/1/18 4:00,9.741971751,7.957833333,0.580833333,9.797166667,1.128166667,0.7585,0.537666667
7/1/18 5:00,9.834833333,4.540166667,0.576333333,10.39366667,1.1525,0.728414039,0.4635
7/1/18 6:00,8.285,8.095833333,0.586,11.37516667,1.0525,0.738846289,0.379833333
7/1/18 7:00,8.226333333,7.969833333,0.582,10.01816667,1.067333333,0.700396552,0.46
7/1/18 8:00,7.277333333,7.785333333,0.505166667,10.28414407,1.107166667,1.250112994,0.4035
7/1/18 9:00,5.522666667,8.063,0.553333333,10.44633333,1.117056497,2.365333333,2.684
7/1/18 10:00,5.528833333,8.480833333,0.607333333,10.57802542,1.092816092,2.3115,3.247833333
7/1/18 11:00,5.607,8.795,0.517,10.76237853,1.199833333,2.330333333,3.243166667
7/1/18 12:00,5.696923729,9.351166667,0.555666667,10.87666667,1.065166667,3.646,3.284
7/1/18 13:00,5.539658192,9.425833333,0.549166667,11.56033333,1.0435,7.78679661,3.2535
7/1/18 14:00,5.550841808,9.699,0.571666667,11.04448656,1.116385057,7.684014288,3.228333333
7/1/18 15:00,5.462644068,9.721166667,0.558,10.78483051,1.165175141,8.23320219,3.221166667
7/1/18 16:00,6.278166667,9.8345,0.546166667,10.748,1.25222619,5.680833333,3.265666667
7/1/18 17:00,8.790293785,8.170166667,0.541666667,3.702279661,1.158666667,2.010722969,3.278333333
7/1/18 18:00,10.57016667,7.329166667,0.596666667,1.108313559,1.157357143,0.735666667,0.9745
7/1/18 19:00,11.555,7.061833333,0.5655,1.026903468,1.143666667,0.732418079,0.618833333
7/1/18 20:00,12.26666667,6.573,0.572333333,1.019211864,1.141449153,0.736833139,0.542666667
7/1/18 21:00,10.48270904,6.8075,0.531833333,1.084324956,1.036166667,0.901833333,0.575
7/1/18 22:00,10.22032486,6.750666667,0.632333333,1.041666667,1.057781609,0.787260522,0.648666667
7/1/18 23:00,9.249333333,7.488,0.573,1.051833333,1.201574713,0.753923729,0.3995
7/2/18 0:00,9.232,8.18,0.521,1.040213564,1.127833333,0.785638076,0.417666667
7/2/18 1:00,8.997539548,8.0525,0.588166667,1.012333333,1.104234463,0.820627119,0.448666667
7/2/18 2:00,8.858166667,7.922333333,0.622333333,0.951833333,1.205719298,0.773833333,0.375833333
7/2/18 3:00,8.987333333,8.025,0.526833333,1.086127211,1.142983051,0.74177193,0.422
7/2/18 4:00,9.7585,8.039666667,0.566333333,1.049161017,0.995833333,1.956781609,0.518333333
7/2/18 5:00,9.197067797,5.751166667,0.796666667,2.618435613,2.309833333,2.921333333,2.817833333
7/2/18 6:00,8.3335,14.54916667,10.54516667,8.760962539,9.009039548,6.590166667,7.609166667
7/2/18 7:00,8.873333333,42.8945,41.3785,33.62,33.77633333,48.36336965,40.74483333
7/2/18 8:00,9.761666667,98.642,126.166,115.0155,127.1658391,124.4599774,125.4453333
7/2/18 9:00,8.481,94.27516667,115.0943333,108.8461128,117.3519368,102.2776582,111.3473333
7/2/18 10:00,10.0495,98.05366667,104.652,96.35366667,107.6552011,100.1923066,114.4153333
7/2/18 11:00,9.926,96.483,57.48616667,70.51083333,80.7945,74.57216667,77.87183333
