,CHAM1,CHAM2,CHAM3,CHAM4,CHAM5
7/1/18 0:00,10.1,17.1,28.4,10.0,30.0
7/1/18 1:00,10.1,17.3,28.4,10.0,30.0
7/1/18 2:00,10.1,17.2,28.4,9.9,30.2
7/1/18 3:00,9.9,17.1,28.3,9.8,30.0
7/1/18 4:00,10.5,17.7,28.8,10.3,30.5
7/1/18 5:00,10.6,14.4,26.1,10.4,27.7
7/1/18 6:00,9.0,16.4,29.1,8.9,30.5
7/1/18 7:00,8.9,16.2,27.5,8.8,29.0
7/1/18 8:00,8.5,15.1,27.1,7.8,28.6
7/1/18 9:00,7.9,13.6,27.0,6.1,30.8
7/1/18 10:00,7.8,14.0,27.5,6.1,31.8
7/1/18 11:00,7.9,14.4,28.0,6.1,32.5
7/1/18 12:00,9.3,15.0,30.1,6.3,34.5
7/1/18 13:00,13.3,15.0,34.9,6.1,39.2
7/1/18 14:00,13.2,15.2,34.6,6.1,38.9
7/1/18 15:00,13.7,15.2,34.8,6.0,39.1
7/1/18 16:00,12.0,16.1,33.1,6.8,37.6
7/1/18 17:00,10.8,17.0,23.2,9.3,27.7
7/1/18 18:00,11.3,17.9,20.3,11.2,22.5
7/1/18 19:00,12.3,18.6,20.9,12.1,22.7
7/1/18 20:00,13.0,18.8,21.2,12.8,22.9
7/1/18 21:00,11.4,17.3,19.8,11.0,21.4
7/1/18 22:00,11.0,17.0,19.4,10.9,21.1
7/1/18 23:00,10.0,16.7,19.1,9.8,20.7
7/2/18 0:00,10.0,17.4,19.8,9.8,21.3
7/2/18 1:00,9.8,17.1,19.5,9.6,21.0
7/2/18 2:00,9.6,16.8,19.1,9.5,20.7
7/2/18 3:00,9.7,17.0,19.4,9.5,20.9
7/2/18 4:00,11.7,17.8,21.4,10.3,22.9
7/2/18 5:00,12.1,14.9,21.3,10.0,26.4
7/2/18 6:00,14.9,22.9,48.8,18.9,65.4
7/2/18 7:00,57.2,51.8,175.1,50.3,249.7
7/2/18 8:00,134.2,108.4,474.0,135.9,726.7
7/2/18 9:00,110.8,102.8,429.0,123.6,657.7
7/2/18 10:00,110.2,108.1,409.3,114.7,631.4
7/2/18 11:00,84.5,106.4,309.0,67.4,467.6
7/2/18 12:00,39.2,108.3,176.3,30.8,211.0
7/2/18 13:00,134.6,109.1,466.5,131.3,669.5
7/2/18 14:00,108.6,101.9,390.2,109.3,610.7
